,title,description,awards,genre,book_id,language_code,num_pages,author,number_of_ratings,rating,publisher,year,text_reviews_count,Movie
280,Alive:TheStoryoftheAndesSurvivors,"On October 12, 1972, a plane carrying a team of young rugby players crashed into the remote, snow-peaked Andes. Out of the forty-five original passengers and crew, only sixteen made it off the mountain alive. For ten excruciating weeks they suffered deprivations beyond imagining, confronting nature head-on at its most furious and inhospitable. And to survive, they were forced to do what would have once been unthinkable...This is their story—one of the most astonishing true adventures of the twentieth century.",0,['Nonfiction'],401514,English,318pages,Piers Paul Read,64647,4.11, Avon,December3rd1975,1329,yes
281,TheHundredDresses,"This Newbery Honor classic, illustrated by a Caldecott Medalist, is a beautifully written tribute to the power of kindness, acceptance, and standing up for what's right. Wanda Petronski is ridiculed by her classmates for wearing the same faded blue dress every day. She claims she has one hundred dresses at home, but everyone knows she doesn’t. When Wanda is pulled out of school one day, the class feels terrible, and classmate Maddie decides that she is ""never going to stand by and say nothing again."" A gentle tale about bullies, bystanders, and having the courage to speak up.",1,['Childrens'],42369,English,80pages,Eleanor Estes,33803,4.09, HMH Books for Young Readers,September1st2004,2685,yes
282,PaintitBlack,"Josie Tyrell, art model, runaway, and denizen of LA's rock scene finds a chance at real love with Michael Faraday, a Harvard dropout and son of a renowned pianist. But when she receives a call from the coroner, asking her to identify her lover's body, her bright dreams all turn to black. As Josie struggles to understand Michael's death and to hold onto the world they shared, she is both attracted to and repelled by his pianist mother, Meredith, who blames Josie for her son's torment. Soon the two women are drawn into a twisted relationship that reflects equal parts distrust and blind need.With the luxurious prose and fever pitch intensity that are her hallmarks, Janet Fitch weaves a spellbinding tale of love, betrayal, and the possibility of transcendence.",0,['Fiction'],33144,English,387pages,Janet Fitch,11232,3.48, Little Brown and Company,September1st2006,1111,yes
283,Airport,"As a raging blizzard wreaks havoc at Lincoln International Airport outside Chicago, airport and airline personnel try to cope with this unstoppable force of nature that is endangering thousands of lives. And in the air, a lone plane struggles to reach its destination. Over the course of seven pulse-pounding hours, a tense human drama plays out as a brilliant airport manager, an arrogant pilot, a tough maintenance man, and a beautiful stewardess strive to avert disaster.Featuring a diverse cast of vibrant characters, Airport is both a realistic depiction of the airline industry and a novel of nail-biting suspense.",1,['Fiction'],124918,English,476pages,Arthur Hailey,36499,3.96, Berkley,August1st2000,569,yes
284,ThePostmanAlwaysRingsTwice,,0,['Fiction'],25807,English,116pages,James M. Cain,32093,3.8, Orion,September9th2010,2265,yes
285,"TheMortalInstruments,theCompleteCollection:CityofBones;CityofAshes;CityofGlass;CityofFallenAngels;CityofLostSouls;CityofHeavenlyFire","All six books in the #1 New York Times bestselling Mortal Instruments series, now available in a collectible hardcover boxed set.Enter the secret world of the Shadowhunters with this handsomely packaged boxed set that includes City of Bones, City of Ashes, City of Glass, City of Fallen Angels, City of Lost Souls, and City of Heavenly Fire. The Mortal Instruments books have more than five million copies in print, and this collectible set of six hardcover volumes is a perfect gift for newcomers to the series and for loyal fans alike.",0,['Fantasy'],22892113,English,3248pages,Cassandra Clare,3351,4.6, Margaret K. McElderry Books,November11th2014,149,yes
286,AHomeattheEndoftheWorld,"From Michael Cunningham, the Pulitzer Prize-winning author of The Hours, comes this widely praised novel of two boyhood friends: Jonathan, lonely, introspective, and unsure of himself; and Bobby, hip, dark, and inarticulate. In New York after college, Bobby moves in with Jonathan and his roommate, Clare, a veteran of the city's erotic wars. Bobby and Clare fall in love, scuttling the plans of Jonathan, who is gay, to father Clare's child. Then, when Clare and Bobby have a baby, the three move to a small house upstate to raise ""their"" child together and, with an odd friend, Alice, create a new kind of family. A Home at the End of the World masterfully depicts the charged, fragile relationships of urban life today.",2,['Fiction'],386242,English,343pages,Michael Cunningham,17859,3.91, Picador,November15th1998,951,yes
287,Gerald'sGame,,0,['Horror'],32692,English,332pages,Stephen King,133778,3.53, Smithmark Publishers,September1st1992,4120,yes
288,TheMartian,"Six days ago, astronaut Mark Watney became one of the first people to walk on Mars. Now, he’s sure he’ll be the first person to die there.After a dust storm nearly kills him and forces his crew to evacuate while thinking him dead, Mark finds himself stranded and completely alone with no way to even signal Earth that he’s alive—and even if he could get word out, his supplies would be gone long before a rescue could arrive. Chances are, though, he won’t have time to starve to death. The damaged machinery, unforgiving environment, or plain-old “human error” are much more likely to kill him first. But Mark isn’t ready to give up yet. Drawing on his ingenuity, his engineering skills — and a relentless, dogged refusal to quit — he steadfastly confronts one seemingly insurmountable obstacle after the next. Will his resourcefulness be enough to overcome the impossible odds against him?",11,['Science Fiction'],18007564,English,384pages,Andy Weir,813505,4.4, Crown,February11th2014,72906,yes
289,TheBody,,0,['Horror'],11574,English,80pages,Stephen King,36089,4.26, Penguin Books,December20th1999,1527,yes
290,Mrs.FrisbyandtheRatsofNIMH,"Mrs. Frisby, a widowed mouse with four small children, must move her family to their summer quarters immediately, or face almost certain death. But her youngest son, Timothy, lies ill with pneumonia and must not be moved. Fortunately, she encounters the rats of NIMH, an extraordinary breed of highly intelligent creatures, who come up with a brilliant solution to her dilemma.",9,['Fantasy'],9822,English,240pages,Robert C. O'Brien,163983,4.15, Aladdin Paperbacks,May1st2003,3596,yes
291,"G.I.Joe:ARealAmericanHero,Volume1",,0,['Sequential Art'],1085370,English,240pages,Larry Hama,443,3.92, Marvel Comics,April29th2002,53,yes
292,AdolfHitler:MyPartinHisDownfall,"Adolf Hitler: My Part on His Downfall is volume One of Spike Milligan's outrageous, hilarious, legendary War Memoirs.'At Victoria station the R.T.O. gave me a travel warrant, a white feather and a picture of Hitler marked ""This is your enemy"". I searched every compartment, but he wasn't on the train . . .'In this, the first of Spike Milligan's uproarious recollections of life in the army, our hero takes us from the outbreak of war in 1939 ('it must have been something we said'), through his attempts to avoid enlistment ('time for my appendicitus, I thought') and his gunner training in Bexhill ('There was one drawback. No ammunition') to the landing at Algiers in 1943 ('I closed my eyes and faced the sun. I fell down a hatchway').Filled with bathos, pathos and gales of ribald laughter, this is a barely sane helping of military goonery and superlative Milliganese.'The most irreverent, hilarious book about the war that I have ever read' Sunday Express'Desperately funny, vivid, vulgar' Sunday Times'Milligan is the Great God to all of us' John Cleese'The Godfather of Alternative Comedy' Eddie Izzard'That absolutely glorious way of looking at things differently. A great man' Stephen FrySpike Milligan was one of the greatest and most influential comedians of the twentieth century. Born in India in 1918, he served in the Royal Artillery during WWII in North Africa and Italy. At the end of the war, he forged a career as a jazz musician, sketch-show writer and performer, before joining forces with Peter Sellers and Harry Secombe to form the legendary Goon Show. Until his death in 2002, he had success as on stage and screen and as the author of over eighty books of fiction, memoir, poetry, plays, cartoons and children's stories.",0,['Humor'],330919,English,144pages,Spike Milligan,5976,4.09, Penguin Books,October30th1974,265,yes
293,JohnDiesattheEnd,"STOP. You should not have touched this flyer with your bare hands. NO, don't put it down. It's too late. They're watching you. My name is David Wong. My best friend is John. Those names are fake. You might want to change yours. You may not want to know about the things you'll read on these pages, about the sauce, about Korrok, about the invasion, and the future. But it's too late. You touched the book. You're in the game. You're under the eye. The only defense is knowledge. You need to read this book, to the end. Even the part with the bratwurst. Why? You just have to trust me.The important thing is this: The drug is called Soy Sauce and it gives users a window into another dimension. John and I never had the chance to say no. You still do. I'm sorry to have involved you in this, I really am. But as you read about these terrible events and the very dark epoch the world is about to enter as a result, it is crucial you keep one thing in mind: ",0,['Horror'],6364718,English,378pages,David  Wong,59906,3.9, Thomas Dunne Books,September29th2009,6143,yes
294,Solaris,"A classic work of science fiction by renowned Polish novelist and satirist Stanislaw Lem.When Kris Kelvin arrives at the planet Solaris to study the ocean that covers its surface, he finds a painful, hitherto unconscious memory embodied in the living physical likeness of a long-dead lover. Others examining the planet, Kelvin learns, are plagued with their own repressed and newly corporeal memories. The Solaris ocean may be a massive brain that creates these incarnate memories, though its purpose in doing so is unknown, forcing the scientists to shift the focus of their quest and wonder if they can truly understand the universe without first understanding what lies within their hearts.",0,['Science Fiction'],95558,English,204pages,Stanisław Lem,72328,3.99, Harcourt,November20th2002,3831,yes
295,Wanted,"What if everything in your life was out of your hands and those around you propelled your fate? Your girlfriend left you for your best friend; your boss gave your job to someone better. What if then, after all this, someone gave you back total control? What if he revealed you were the next in line to join a secret society of super-villains that controlled the entire planet? Mark Millar and J.G. Jones provide a look at one man who goes from being the world's biggest loser to the deadliest assassin alive.",0,['Sequential Art'],160848,English,192pages,Mark Millar,12854,3.71, Image Comics,November27th2007,570,yes
296,"ThePunisher,Vol.1:WelcomeBack,Frank",,0,['Sequential Art'],664149,English,288pages,Garth Ennis,4856,4.22, Marvel Comics,June1st2002,169,yes
297,ARoomwithaView,"This Edwardian social comedy explores love and prim propriety among an eccentric cast of characters assembled in an Italian pensione and in a corner of Surrey, England. A charming young English woman, Lucy Honeychurch, faints into the arms of a fellow Britisher when she witnesses a murder in a Florentine piazza. Attracted to this man, George Emerson, who is entirely unsuitable and whose father just may be a Socialist. Lucy is soon at war with the snobbery of her class and her own conflicting desires. Back in England she is courted by a more acceptable, if stifling, suitor, and soon realizes she must make a startling decision that will decide the course of her future: she is forced to choose between convention and passion. The enduring delight of this tale of romantic intrigue is rooted in Forster's colorful characters, including outrageous spinsters, pompous clergymen and outspoken patriots. Written in 1908, A Room With A View is one of E.M. Forster's earliest and most celebrated works.",0,['Classics'],253641,English,206pages,E.M. Forster,151561,3.91, Penguin Classics,August31st2000,5676,yes
298,TheOdessaFile,"The suicide of an elderly German Jew explodes into revelation after revelation: a Mafia-like organization called Odessa, a real-life fugitive known at the ""Butcher of Riga"", a young German journalist turned obsessed avenger...and ultimately, of a brilliant, ruthless plot to reestablish the worldwide power of SS mass murders and to carry out Hitler's chilling ""Final Solution.""",0,['Fiction'],149572,English,334pages,Frederick Forsyth,54938,4.11, Bantam,March1st1983,787,yes
299,UndertheTuscanSun,"An enchanting and lyrical look at the life, the traditions, and the cuisine of Tuscany, in the spirit of Peter Mayle's A Year in Provence. Frances Mayes entered a wondrous new world when she began restoring an abandoned villa in the spectacular Tuscan countryside. There were unexpected treasures at every turn: faded frescos beneath the whitewash in her dining room, a vineyard under wildly overgrown brambles in the garden, and, in the nearby hill towns, vibrant markets and delightful people. In Under the Tuscan Sun, she brings the lyrical voice of a poet, the eye of a seasoned traveler, and the discerning palate of a cook and food writer to invite readers to explore the pleasures of Italian life and to feast at her table.",0,['Travel'],480479,English,304pages,Frances Mayes,315460,3.76, Broadway Books,September2nd1997,3656,yes
300,Che:AMemoir,"In a new, expanded edition of a best-selling Ocean classic, Castro describes a historic political partnership that changed the face of Cuba and Latin America. He vividly portrays Che—the man, the revolutionary, and the thinker—recounting in detail his last days with Che in Cuba, giving a remarkably frank assessment of the Bolivian mission.Fidel Castro, in an unusually gentle, quite emotional mood, remarks, “For me it has been hard to accept the idea that Che is dead. I have dreamed of him often, that I spoke with him, that he was alive . . .” Includes Castro’s speech on the return of Che’s remains to Cuba in 1997.",0,['History'],405909,English,200pages,Fidel Castro,269,3.77, Ocean Press,October1st2005,22,yes
301,TheLastStraw,"Let’s face it: Greg Heffley will never change his wimpy ways. Somebody just needs to explain that to Greg’s father. You see, Frank Heffley actually thinks he can get his son to toughen up, and he enlists Greg in organized sports and other ""manly” endeavors. Of course, Greg is easily able to sidestep his father’s efforts to change him. But when Greg’s dad threatens to send him to military academy, Greg realizes he has to shape up . . . or get shipped out.",0,['Humor'],3293821,English,218pages,Jeff Kinney,121449,4.15, Amulet Books,January1st2009,5079,yes
302,FarFromtheMaddingCrowd,"Far from the Madding Crowd was Thomas Hardy's first major literary success, and it edited with an introduction and notes by Rosemarie Morgan and Shannon Russell in Penguin Classics.Independent and spirited Bathsheba Everdene has come to Weatherbury to take up her position as a farmer on the largest estate in the area. Her bold presence draws three very different suitors: the gentleman-farmer Boldwood, soldier-seducer Sergeant Troy and the devoted shepherd Gabriel Oak. Each, in contrasting ways, unsettles her decisions and complicates her life, and tragedy ensues, threatening the stability of the whole community. The first of his works set in the fictional county of Wessex, Hardy's novel of swift passion and slow courtship is imbued with his evocative descriptions of rural life and landscapes, and with unflinching honesty about sexual relationships.",0,['Classics'],31463,English,433pages,Thomas Hardy,128334,3.94, Penguin Books,February27th2003,6003,yes
303,WideSargassoSea,,2,['Fiction'],44597,English,160pages,Jean Rhys,66359,3.59, Penguin Books,September3rd1998,5251,yes
304,BeeSeason,"Eliza Naumann, a seemingly unremarkable nine-year-old, expects never to fit into her gifted family: her autodidact father, Saul, absorbed in his study of Jewish mysticism; her brother, Aaron, the vessel of his father's spiritual ambitions; and her brilliant but distant lawyer-mom, Miriam. But when Eliza sweeps her school and district spelling bees in quick succession, Saul takes it as a sign that she is destined for greatness. In this altered reality, Saul inducts her into his hallowed study and lavishes upon her the attention previously reserved for Aaron, who in his displacement embarks upon a lone quest for spiritual fulfillment. When Miriam's secret life triggers a familial explosion, it is Eliza who must order the chaos.Myla Goldberg's keen eye for detail brings Eliza's journey to three-dimensional life. As she rises from classroom obscurity to the blinding lights and outsized expectations of the National Bee, Eliza's small pains and large joys are finely wrought and deeply felt.Not merely a coming-of-age story, Goldberg's first novel delicately examines the unraveling fabric of one family. The outcome of this tale is as startling and unconventional as her prose, which wields its metaphors sharply and rings with maturity. The work of a lyrical and gifted storyteller, Bee Season marks the arrival of an extraordinarily talented new writer.",5,['Fiction'],251762,English,275pages,Myla Goldberg,24215,3.57, Anchor,May15th2001,1627,yes
305,TitusAndronicus,No description provided .,0,['Plays'],72978,English,268pages,William Shakespeare,23498,3.7, Simon  Schuster,February1st2005,1570,yes
306,DoctorZhivago,"This epic tale about the effects of the Russian Revolution and its aftermath on a bourgeois family was not published in the Soviet Union until 1987. One of the results of its publication in the West was Pasternak's complete rejection by Soviet authorities; when he was awarded the Nobel Prize for Literature in 1958 he was compelled to decline it. The book quickly became an international best-seller.Dr. Yury Zhivago, Pasternak's alter ego, is a poet, philosopher, and physician whose life is disrupted by the war and by his love for Lara, the wife of a revolutionary. His artistic nature makes him vulnerable to the brutality and harshness of the Bolsheviks. The poems he writes constitute some of the most beautiful writing featured in the novel.",1,['Classics'],130440,English,592pages,Boris Pasternak,82023,4.01, Pantheon,March18th1997,3145,yes
307,TheGoldenChance,"SHE'S GOT A SHARE IN HIS FAMILY'S FORTUNE. HE'S INTERESTED IN HER ASSETS. IT WAS LOVE AT FIRST FIGHT.Stunning, stubborn and independent, Philadelphia Fox lost the best friend she ever had because of the fabulously rich and powerful Lightfoot family of Washington state. Now she's got her friend's controlling shares in Lightfoot Industries -- an inheritance that brings Nick, the family's prodigal and extremely attractive son, knocking at her door.The last thing Phila expects is to fall in love -- but the spark that ignites their quick wits and suspicious hearts soon blazes into an extraordinary passion. In Nick's arms, Phila finds the deepest satisfaction she has ever known, but behind his gray eyes lurks a disturbing enigma.Lost in the confusion of her own feelings, wary of her own passionate abandon, Phila faces the choice of her life. Love has never come easily for her ...and if she wants it now she must believe not only in Nick, but in his formidable family as well ...for this golden chance will never come again. Reissue.",0,['Romance'],186856,English,368pages,Jayne Ann Krentz,1765,3.85, Pocket Books,December1st1997,70,yes
308,DesertoftheHeart,,0,['LGBT'],23441104,English,224pages,Jane Rule,3905,3.91, Ayer Company ,1984,130,yes
309,"ToSir,WithLove","The all-time Classic schoolroom drama - as relevant as today's headlines ...He shamed them, wrestled with them, enlightened them, and - ultimately - learned to love them. Mr. Braithwaite, the new teacher, had first to fight the class bully. Then he taught defiant, hard-bitten delinquents to call him ""Sir,"" and to address the girls who had grown up beside them in the gutter as ""Miss"".He taught them to wash their faces and to read Shakespeare. When he took all forty-six to museums and to the opera, riots were predicted. But instead of a catastrophe, a miracle happened. A dedicated teacher had turned hate into love, teenage rebelliousness into self-respect, contempt into into consideration for others. A man's own integrity - his concern and love for others - had won through. The modern classic about a dedicated teacher in a tough London school who slowly and painfully breaks down the barriers of racial prejudice, this is the story of a man's integrity winning through against the odds.",0,['Fiction'],895163,English,189pages,E.R. Braithwaite,11886,4.17, Jove,October1st1990,601,yes
310,TheIceStorm,"The year is 1973. As a freak winter storm bears down on an exclusive, affluent suburb in Connecticut, cars skid out of control, men and women swap partners, and their children experiment with sex, drugs, and even suicide. Here two families, the Hoods and the Williamses, come face-to-face with the seething emotions behind the well-clipped lawns of their lives - in a novel widely hailed as a funny, acerbic, and moving hymn to a dazed and confused era of American life.",0,['Fiction'],15374,English,288pages,Rick Moody,5299,3.66, Back Bay Books,April10th2002,404,yes
311,LoveFindsaHome,"Book 8 of the bestselling Love Comes Softly series. Leaving her little prairie town, Belinda Davis never dreamed that the excitement of living in Boston would leave her restless and empty inside. Wealth, literature, travel, and romance touched her life with choices and decisions that brought dissatisfaction rather than joy. She discovered that only when God had first place in her life was her peace restored. Belinda once again faces decisions about her life that are no less difficult than before. A very unexpected responsibility makes the choice even harder.",0,['Christian Fiction'],65482,English,237pages,Janette Oke,7536,4.27, Bethany House Publishers,February1st2004,164,yes
312,TheLittleEngineThatCould,,1,['Childrens'],824204,English,48pages,Watty Piper,101576,4.16, Platt & Munk,July11th2006,1432,yes
313,BlesstheBeastsandChildren,,1,['Fiction'],303801,English,196pages,Glendon Swarthout,1711,3.57, Simon  Schuster,June1st2004,190,yes
314,TheGiver,,22,['Young Adult'],3636,English,208pages,Lois Lowry,1777712,4.13, Ember,January24th2006,65182,yes
315,TheDarkIsRising,"""When the Dark comes rising, six shall turn it back, three from the circle, three from the track; wood, bronze, iron; water, fire, stone; five will return, and one go alone.”With these mysterious words, Will Stanton discovers on his 11th birthday that he is no mere boy. He is the Sign-Seeker, last of the immortal Old Ones, destined to battle the powers of evil that trouble the land. His task is monumental: he must find and guard the six great Signs of the Light, which, when joined, will create a force strong enough to match and perhaps overcome that of the Dark. Embarking on this endeavor is dangerous as well as deeply rewarding; Will must work within a continuum of time and space much broader than he ever imagined.",4,['Fantasy'],210329,English,272pages,Susan Cooper,50546,4.06, Margaret K. McElderry ,May8th2007,2398,yes
316,TheSeventhScroll,"For 4,000 years, the lavish crypt of the Pharaoh Mamose has never been found...until the Seventh Scroll, a cryptic message written by he slave Taita, gives beautiful Egyptologist Royan Al Simma a tantalizing clue to its location.But this is a treasure cache others would kill to possess. Only one step ahead of assassins, Royan runs for her life and into the arms of the only man she can trust, Sir Nicholas Quenton-Harper-a daring man who will stake his fortune and his life to join her hunt for the king's tomb. Together, they will embark on a breathtaking journey to the most exotic locale on earth, where the greatest mystery of ancient Egypt, a chilling danger and an explosive passion are waiting.Steeped in ancient mystery, drama and action, The Seventh Scroll is a masterpiece from a storyteller at the height of his powers.",0,['Historical'],416580,English,614pages,Wilbur Smith,16784,4.12, St. Martin's Press,April15th1996,598,yes
317,HerFearfulSymmetry,"Six years after the phenomenal success of The Time Traveler's Wife, Audrey Niffenegger has returned with a spectacularly compelling and haunting second novel set in and around Highgate Cemetery in London.When Elspeth Noblin dies of cancer, she leaves her London apartment to her twin nieces, Julia and Valentina. These two American girls never met their English aunt, only knew that their mother, too, was a twin, and Elspeth her sister. Julia and Valentina are semi-normal American teenagers--with seemingly little interest in college, finding jobs, or anything outside their cozy home in the suburbs of Chicago, and with an abnormally intense attachment to one another.The girls move to Elspeth's flat, which borders Highgate Cemetery in London. They come to know the building's other residents. There is Martin, a brilliant and charming crossword puzzle setter suffering from crippling Obsessive Compulsive Disorder; Marjike, Martin's devoted but trapped wife; and Robert, Elspeth's elusive lover, a scholar of the cemetery. As the girls become embroiled in the fraying lives of their aunt's neighbors, they also discover that much is still alive in Highgate, including--perhaps--their aunt, who can't seem to leave her old apartment and life behind.Niffenegger weaves a captivating story in Her Fearful Symmetry about love and identity, about secrets and sisterhood, and about the tenacity of life--even after death.",2,['Fiction'],6202342,English,406pages,Audrey Niffenegger,89686,3.26, Jonathan Cape Ltd,September29th2009,12329,yes
318,Jumanji,,7,['Childrens'],525995,English,32pages,Chris Van Allsburg,26404,4.04, Houghton Mifflin Company,1981,1715,yes
319,TheVampireArmand,"In the latest installment of The Vampire Chronicles, Anne Rice summons up dazzling worlds to bring us the story of Armand - eternally young, with the face of a Botticelli angel. Armand, who first appeared in all his dark glory more than twenty years ago in the now-classic Interview with the Vampire, the first of The Vampire Chronicles, the novel that established its author worldwide as a magnificent storyteller and creator of magical realms.Now, we go with Armand across the centuries to the Kiev Rus of his boyhood - a ruined city under Mongol dominion - and to ancient Constantinople, where Tartar raiders sell him into slavery. And in a magnificent palazzo in the Venice of the Renaissance we see him emotionally and intellectually in thrall to the great vampire Marius, who masquerades among humankind as a mysterious, reclusive painter and who will bestow upon Armand the gift of vampiric blood. As the novel races to its climax, moving through scenes of luxury and elegance, of ambush, fire, and devil worship to nineteenth-century Paris and today's New Orleans, we see its eternally vulnerable and romantic hero forced to choose between his twilight immortality and the salvation of his immortal soul.",0,['Horror'],31332,English,457pages,Anne Rice,63611,3.77, Ballantine Books,October3rd2000,955,yes
320,EugeneOnegin,"Eugene Onegin is the master work of the poet whom Russians regard as the fountainhead of their literature. Set in imperial Russia during the 1820s, Pushkin's novel in verse follows the emotions and destiny of three men - Onegin the bored fop, Lensky the minor elegiast, and a stylized Pushkin himself - and the fates and affections of three women - Tatyana the provincial beauty, her sister Olga, and Pushkin's mercurial Muse. Engaging, full of suspense, and varied in tone, it also portrays a large cast of other characters and offers the reader many literary, philosophical, and autobiographical digressions, often in a highly satirical vein. Eugene Onegin was Pushkin's own favourite work, and it shows him attempting to transform himself from romantic poet into realistic novelist. This new translation seeks to retain both the literal sense and the poetic music of the original, and capture the poem's spontaneity and wit. The introduction examines several ways of reading the novel, and the text is richly annotated.",0,['Classics'],27822,English,240pages,Alexander Pushkin,51509,4.1, Oxford University Press,October22nd1998,1375,yes
321,Rain,"RAIN ALREADY KNOWS HOW HARD LIFE CAN BE. BUT SHE IS ABOUT TO DISCOVER A SHATTERING SECRET FROM THE PAST THAT WILL CHANGE HER FUTURE FOREVER....  Growing up in the ghettos of Washington, D.C., the cards are stacked against a hardworking dreamer like Rain Arnold. Rain has fought to be the best daughter she can: she studies hard and gets good grades; she helps her mother cook and clean. And unlike her defiant younger sister, she avoids the dangers of the city streets as if her life depends on it...and it does. But Rain can't suppress the feeling that she has never truly fit in, that she is a stranger in her own world.  Then one fateful night, Rain overhears something she shouldn't: a heartbreaking revelation from the past, a long-buried secret that is about to change her life in ways she never could have imagined. In the blink of an eye, everything Rain has ever known -- the family she has loved and the familiar place she has called home is left behind, and Rain is sent to live with total strangers, the wealthy Hudson family. But just as she did not belong to the troubled world she was raised in, Rain is also out of place in this realm of luxury and privilege. With nowhere to turn, Rain finds an escape in the theater, inside the walls of an exclusive private school. But will it be enough to fulfill her heart's deepest wish -- and give her a place to call home?",0,['Fiction'],226720,English,448pages,V.C. Andrews,5749,3.83, Pocket Books,March1st2000,124,yes
322,OrchidBeach,"#1 New York Times bestselling author Stuart Woods delivers a riveting thriller that introduces his first female protagonist, Deputy Chief of Police Holly Barker.Forced into early retirement at thirty-seven, smart, attractive, and fiercely independent Major Holly Barker trades in her bars as a military cop for the badge of deputy chief of police in Orchid Beach, Florida. But below the sunny surface of this sleepy, well-to-do island town lies an evil that escalates into the cold-blooded murder of one of Holly's new colleagues.An outsider, Holly has little to go on for answers and no one to help her—except Daisy, a Doberman of exceptional intelligence and loyalty that becomes her companion and protector. The closer Holly gets to the truth, the more she knows that it'll take one smart dog with guts to sniff out this killer—before he can catch her first.",0,['Mystery'],410741,English,416pages,Stuart Woods,10714,4, Harper,April24th2007,433,yes
323,IndianaJonesandtheTempleofDoom,,0,['Adventure'],407224,English,224pages,James Kahn,2361,4.08, Del Rey,April29th2008,57,yes
324,CubaLibre,"Before Grand Master Elmore Leonard earned his well-deserved reputation as “the best writer of crime fiction alive” (Newsweek), he penned some of the finest western fiction to ever appear in print. (The classics Hombre, Valdez is Coming, and 3:10 to Yuma were just a few of his notable works.) With his extraordinary Cuba Libre, Leonard ingeniously combines all of his many talents and delivers a historical adventure/caper/western/noir like none other. The creator of U.S. Marshal Raylan Givens, star of Raylan, Pronto, Riding the Rap, and TV’s Justified, spins a gloriously exciting yarn about an American horse wrangler who escapes a date with a Cuban firing squad to join forces with a powerful sugar baron’s lady looking to make waves and score big in and around Spanish-American War-torn Havana in 1898. Everything you love about Leonard’s fiction—and more—is evident in Cuba Libre.",0,['Fiction'],553075,English,432pages,Elmore Leonard,4156,3.64, HarperTorch,July30th2002,249,yes
325,The5thWave,"After the 1st wave, only darkness remains. After the 2nd, only the lucky escape. And after the 3rd, only the unlucky survive. After the 4th wave, only one rule applies: trust no one.Now, it's the dawn of the 5th wave, and on a lonely stretch of highway, Cassie runs from Them. The beings who only look human, who roam the countryside killing anyone they see. Who have scattered Earth's last survivors. To stay alone is to stay alive, Cassie believes, until she meets Evan Walker. Beguiling and mysterious, Evan Walker may be Cassie's only hope for rescuing her brother-or even saving herself. But Cassie must choose: between trust and despair, between defiance and surrender, between life and death. To give up or to get up.",14,['Young Adult'],16101128,English,457pages,Rick Yancey,386910,4.04, G.P. Putnam's Sons Books for Young Readers,May7th2013,29806,yes
326,MidnightintheGardenofGoodandEvil,"A sublime and seductive reading experience. Brilliantly conceived and masterfully written, this enormously engaging portrait of a most beguiling Southern city has become a modern classic.Shots rang out in Savannah's grandest mansion in the misty, early morning hours of May 2, 1981. Was it murder or self-defense? For nearly a decade, the shooting and its aftermath reverberated throughout this hauntingly beautiful city of moss-hung oaks and shaded squares. John Berendt's sharply observed, suspenseful, and witty narrative reads like a thoroughly engrossing novel, and yet it is a work of nonfiction. Berendt skillfully interweaves a hugely entertaining first-person account of life in this isolated remnant of the Old South with the unpredictable twists and turns of a landmark murder case.It is a spellbinding story peopled by a gallery of remarkable characters: the well-bred society ladies of the Married Woman's Card Club; the turbulent young redneck gigolo; the hapless recluse who owns a bottle of poison so powerful it could kill every man, woman, and child in Savannah; the aging and profane Southern belle who is the ""soul of pampered self-absorption""; the uproariously funny black drag queen; the acerbic and arrogant antiques dealer; the sweet-talking, piano-playing con artist; young blacks dancing the minuet at the black debutante ball; and Minerva, the voodoo priestess who works her magic in the graveyard at midnight. These and other Savannahians act as a Greek chorus, with Berendt revealing the alliances, hostilities, and intrigues that thrive in a town where everyone knows everyone else.",4,['Nonfiction'],386187,English,386pages,John Berendt,223134,3.92, Vintage,June28th1999,8898,yes
327,TheBoyintheStripedPajamas,,5,['Historical'],39999,English,240pages,John Boyne,514756,4.15, David Fickling Books,September12th2006,26908,yes
